char,meaning,onyomi,kunyomi,example,strokeOrder,audio
行,"go, carry out",コウ,"い(く),おこな(う)","銀行 (ぎんこう) - bank",/assets/strokes/kanji/行.gif,/assets/audio/kanji/go.mp3
見,"see, look",ケン,"み(る)","見物 (けんぶつ) - sightseeing",/assets/strokes/kanji/見.gif,/assets/audio/kanji/see.mp3
食,eat,ショク,"た(べる)","食事 (しょくじ) - meal",/assets/strokes/kanji/食.gif,/assets/audio/kanji/eat.mp3
飲,drink,イン,"の(む)","飲み物 (のみもの) - drink",/assets/strokes/kanji/飲.gif,/assets/audio/kanji/drink.mp3
買,buy,バイ,"か(う)","買い物 (かいもの) - shopping",/assets/strokes/kanji/買.gif,/assets/audio/kanji/buy.mp3
読,read,ドク,"よ(む)","読書 (どくしょ) - reading",/assets/strokes/kanji/読.gif,/assets/audio/kanji/read.mp3
書,write,ショ,"か(く)","図書館 (としょかん) - library",/assets/strokes/kanji/書.gif,/assets/audio/kanji/write.mp3
話,"speak, talk",ワ,"はな(す)","電話 (でんわ) - telephone",/assets/strokes/kanji/話.gif,/assets/audio/kanji/speak.mp3
聞,"hear, listen, ask",ブン,"き(く)","新聞 (しんぶん) - newspaper",/assets/strokes/kanji/聞.gif,/assets/audio/kanji/hear.mp3
言,"say, word",ゲン,"い(う)","言語 (げんご) - language",/assets/strokes/kanji/言.gif,/assets/audio/kanji/say.mp3
立,"stand up, establish",リツ,"た(つ)","国立 (こくりつ) - national",/assets/strokes/kanji/立.gif,/assets/audio/kanji/stand.mp3
休,rest,キュウ,"やす(む)","休日 (きゅうじつ) - holiday",/assets/strokes/kanji/休.gif,/assets/audio/kanji/rest.mp3
入,enter,ニュウ,"はい(る),い(れる)","入口 (いりぐち) - entrance",/assets/strokes/kanji/入.gif,/assets/audio/kanji/enter.mp3
出,"exit, go out",シュツ,"で(る),だ(す)","出口 (でぐち) - exit",/assets/strokes/kanji/出.gif,/assets/audio/kanji/exit.mp3
生,"live, birth, student","セイ,ショウ","う(まれる),い(きる)","学生 (がくせい) - student",/assets/strokes/kanji/生.gif,/assets/audio/kanji/live.mp3
学,"study, learn",ガク,"まな(ぶ)","学校 (がっこう) - school",/assets/strokes/kanji/学.gif,/assets/audio/kanji/study.mp3
会,"meet, society",カイ,"あ(う)","会社 (かいしゃ) - company",/assets/strokes/kanji/会.gif,/assets/audio/kanji/meet.mp3
作,"make, create",サク,"つく(る)","作文 (さくぶん) - essay",/assets/strokes/kanji/作.gif,/assets/audio/kanji/make.mp3
帰,"return, go home",キ,"かえ(る)","帰国 (きこく) - return to home country",/assets/strokes/kanji/帰.gif,/assets/audio/kanji/return.mp3
大,"big, large","ダイ,タイ","おお(きい)","大学 (だいがく) - university",/assets/strokes/kanji/大.gif,/assets/audio/kanji/big.mp3
小,"small, little",ショウ,"ちい(さい),こ","小学校 (しょうがっこう) - elementary school",/assets/strokes/kanji/小.gif,/assets/audio/kanji/small.mp3
高,"high, tall, expensive",コウ,"たか(い)","高校 (こうこう) - high school",/assets/strokes/kanji/高.gif,/assets/audio/kanji/high.mp3
安,"cheap, peaceful",アン,"やす(い)","安全 (あんぜん) - safety",/assets/strokes/kanji/安.gif,/assets/audio/kanji/cheap.mp3
新,new,シン,"あたら(しい)","新聞 (しんぶん) - newspaper",/assets/strokes/kanji/新.gif,/assets/audio/kanji/new.mp3
古,old,コ,"ふる(い)","中古 (ちゅうこ) - secondhand",/assets/strokes/kanji/古.gif,/assets/audio/kanji/old.mp3
多,"many, much",タ,"おお(い)","多分 (たぶん) - probably",/assets/strokes/kanji/多.gif,/assets/audio/kanji/many.mp3
少,"few, little",ショウ,"すく(ない),すこ(し)","少し (すこし) - a little",/assets/strokes/kanji/少.gif,/assets/audio/kanji/few.mp3
長,"long, leader",チョウ,"なが(い)","社長 (しゃちょう) - company president",/assets/strokes/kanji/長.gif,/assets/audio/kanji/long.mp3
白,white,ハク,"しろ(い)","白黒 (しろくろ) - black and white",/assets/strokes/kanji/白.gif,/assets/audio/kanji/white.mp3
赤,red,セキ,"あか(い)","赤ちゃん (あかちゃん) - baby",/assets/strokes/kanji/赤.gif,/assets/audio/kanji/red.mp3
青,blue,セイ,"あお(い)","青年 (せいねん) - youth",/assets/strokes/kanji/青.gif,/assets/audio/kanji/blue.mp3
車,"car, vehicle",シャ,くるま,"電車 (でんしゃ) - train",/assets/strokes/kanji/車.gif,/assets/audio/kanji/car.mp3
道,"road, way",ドウ,みち,"道路 (どうろ) - road",/assets/strokes/kanji/道.gif,/assets/audio/kanji/road.mp3
駅,station,エキ,"","駅前 (えきまえ) - in front of the station",/assets/strokes/kanji/駅.gif,/assets/audio/kanji/station.mp3
電,electricity,デン,"","電気 (でんき) - electricity, light",/assets/strokes/kanji/電.gif,/assets/audio/kanji/electricity.mp3
語,"language, word",ゴ,"かた(る)","日本語 (にほんご) - Japanese language",/assets/strokes/kanji/語.gif,/assets/audio/kanji/language.mp3
本,"book, origin",ホン,もと,"本屋 (ほんや) - bookstore",/assets/strokes/kanji/本.gif,/assets/audio/kanji/book.mp3
店,"store, shop",テン,みせ,"店員 (てんいん) - store clerk",/assets/strokes/kanji/店.gif,/assets/audio/kanji/store.mp3
校,"school, proofread",コウ,"","中学校 (ちゅうがっこう) - middle school",/assets/strokes/kanji/校.gif,/assets/audio/kanji/school.mp3
社,"company, shrine",シャ,やしろ,"社会 (しゃかい) - society",/assets/strokes/kanji/社.gif,/assets/audio/kanji/company.mp3
銀,silver,ギン,"","銀行 (ぎんこう) - bank",/assets/strokes/kanji/銀.gif,/assets/audio/kanji/silver.mp3
病,"sick, illness",ビョウ,"や(む)","病院 (びょういん) - hospital",/assets/strokes/kanji/病.gif,/assets/audio/kanji/sick.mp3
院,"institution, hospital",イン,"","大学院 (だいがくいん) - graduate school",/assets/strokes/kanji/院.gif,/assets/audio/kanji/institution.mp3
